t,x,y,z
0.0,1.0,0.0,0.0
0.005,0.9546112051770386,0.1363723740539615,0.0003317265283264881
0.01,0.9179244496885618,0.2663399866809109,0.0012638983207408072
0.015,0.8892327445027853,0.39109720464196873,0.002722192524626874
0.02,0.8679194496774282,0.5117404281748704,0.00465546057209661
0.025,0.8534490618837766,0.6292807986983932,0.007031822294348779
0.03,0.8453601465107559,0.7446541555633575,0.009835884893227667
0.035,0.8432572658023684,0.858732594334201,0.013066324536854766
0.04,0.8468051748218214,0.9723329094327556,0.016734522370772373
0.045,0.8557251564113912,1.0862225024990706,0.02086329847048834
0.05,0.8697867489622433,1.201131649024005,0.025486210592314894
0.055,0.8888049476448101,1.317758031441705,0.03064743859944626
0.06,0.912640019808693,1.4367682249279916,0.03640123169101509
0.065,0.9411900189092282,1.5588097941804502,0.04281268728281066
0.07,0.974387166379832,1.6845169926670112,0.049958174805547324
0.075,1.0121969675433522,1.8145129902084145,0.05792603482282431
0.08,1.0546200952104678,1.9494092621590398,0.0668164279327213
0.085,1.1016880129797773,2.089813756797945,0.07674352718855736
0.09,1.153457844748429,2.2363401640065823,0.08783823574881998
0.095,1.2100123365421858,2.3896079886770933,0.10024820900722317
0.1,1.2714595745532384,2.5502440114756197,0.11413961232663512
0.105,1.3379356861368754,2.7188830094699297,0.12969936532622145
0.11,1.409604966384612,2.896167996355883,0.14713362853722695
0.115,1.486654010165356,3.082762653362809,0.16667975255946205
0.12,1.5692914318886135,3.2793520370116274,0.1886070249187143
0.125,1.6577478655045033,3.4866425791148803,0.2132166700667526
0.13,1.7522759699667236,3.7053620832343297,0.2408419970792938
0.135,1.8531530546386619,3.936259716600227,0.27186409884204943
0.14,1.9606849750775317,4.1801095258543475,0.30669759861270945
0.145,2.0752010499713696,4.437712590859143,0.3458099713321181
0.15,2.1970532326832615,4.7098968165491355,0.38973778109713564
0.155,2.326616111251331,4.997516932930883,0.43908668116063254
0.16,2.464286908388767,5.301454495083046,0.4945314139315026
0.165,2.610485481483786,5.622617883156307,0.5568158109746449
0.17,2.7656532769151134,5.9619308079489,0.6267746674963849
0.175,2.930262290225293,6.320342109815211,0.7053469198455451
0.18,3.104815405464446,6.698841596723741,0.7935504883528145
0.185,3.2898344924924747,7.0984102844213215,0.8925531208829722
0.19,3.4858601270102954,7.520018910903652,1.0036747156864758
0.195,3.693451590559814,7.964627936415247,1.1283873213994424
0.2,3.913186870523946,8.433187543449478,1.2683151370436658
0.205,4.145662660126598,8.926637636748538,1.425234512026599
0.21,4.39147707153533,9.44584076243202,1.6011057322079727
0.215,4.651247562478148,9.99159059338591,1.7981375342913106
0.22,4.925652162282714,10.564746049542336,2.0187344380674417
0.225,5.2153448750126055,11.165944982131643,2.2655744769483346
0.23,5.520952381073082,11.795592583552109,2.541613157574857
0.235,5.843074037211068,12.45386138736991,2.8500834598167617
0.24,6.182281876515171,13.140691268319168,3.194495836772702
0.245,6.539120608415702,13.855789442301978,3.5786382147702587
0.25,6.91410750825942,14.598630218599189,4.0065758029788325
0.255,7.30756618285586,15.368022474086322,4.482424014652306
0.26,7.719909557360489,16.1624977519938,5.01103027561934
0.265,8.151555810893656,16.980160143435477,5.597700342643862
0.27,8.602676585837852,17.818157023174543,6.247716048734875
0.275,9.073196987837699,18.67267904962351,6.96633530314645
0.28,9.562795585799964,19.538960164844237,7.758792091377734
0.285,10.070904411893544,20.4112775945479,8.630296475172932
0.29,10.596708961549488,21.28295184809504,9.586034592521349
0.295,11.139148193460969,22.146346718495487,10.631168657657337
0.3,11.696785314563378,22.993234055683217,11.769878455317425
0.305,12.267686626710121,23.813408290030747,13.00522217028179
0.31,12.849741351201013,24.59343697593222,14.341654377837902
0.315,13.44024869560621,25.319286039423964,15.781317065840327
0.32,14.035897390501098,25.976418575580222,17.32386972952972
0.325,14.632765689466291,26.54979484851314,18.966489371532766
